Date,Time,Channel,BPM,Tower,Antenna,Power,L_ID,T_Lat,T_Long,T_N,T_E,EstAzimuth
4/21/2019,18:01:23,87,36.6,T1_02,3,62,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:01:24,87,36.6,T1_02,3,57,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:01:33,87,36.6,T1_02,1,56,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,18:01:34,87,36.7,T1_02,1,57,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,18:01:36,87,36.7,T1_02,1,64,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,18:01:39,87,36.6,T1_02,2,82,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:01:41,87,36.6,T1_02,2,81,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:01:44,87,36.8,T1_02,3,65,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:01:46,87,36.6,T1_02,3,61,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:01:47,87,36.6,T1_02,3,65,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:01:57,87,36.6,T1_02,1,60,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,18:01:59,87,36.6,T1_02,1,59,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,18:02:02,87,36.6,T1_02,2,76,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:02:04,87,36.7,T1_02,2,83,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:02:05,87,36.6,T1_02,2,79,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:02:09,87,36.6,T1_02,3,64,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:02:10,87,36.6,T1_02,3,68,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:02:12,87,36.6,T1_02,3,75,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:02:15,87,36.6,T1_02,4,61,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,18:02:17,87,36.6,T1_02,4,60,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,18:02:20,87,36.7,T1_02,1,67,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,18:02:22,87,36.7,T1_02,1,68,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,18:02:23,87,36.6,T1_02,1,74,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,18:02:27,87,36.6,T1_02,2,97,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:02:28,87,36.6,T1_02,2,86,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:02:30,87,36.6,T1_02,2,91,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:02:33,87,36.6,T1_02,3,78,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:02:35,87,36.6,T1_02,3,83,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:02:38,87,36.6,T1_02,4,62,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,18:02:40,87,36.6,T1_02,4,60,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,18:02:41,87,36.7,T1_02,4,70,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,18:02:45,87,36.7,T1_02,1,81,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,18:02:46,87,36.6,T1_02,1,80,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,18:02:48,87,36.7,T1_02,1,80,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,18:02:51,87,36.7,T1_02,2,102,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:02:53,87,36.7,T1_02,2,107,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:02:56,87,36.7,T1_02,3,81,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:02:58,87,36.7,T1_02,3,86,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:02:59,87,36.7,T1_02,3,79,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:03:03,87,36.7,T1_02,4,80,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,18:03:04,87,36.7,T1_02,4,70,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,18:03:06,87,36.7,T1_02,4,81,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,18:03:09,87,36.7,T1_02,1,94,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,18:03:11,87,36.7,T1_02,1,92,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,18:03:14,87,36.7,T1_02,2,113,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:03:16,87,36.7,T1_02,2,109,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:03:17,87,36.7,T1_02,2,111,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:03:21,87,36.7,T1_02,3,97,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:03:22,87,36.7,T1_02,3,101,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:03:24,87,36.7,T1_02,3,98,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:03:27,87,36.7,T1_02,4,88,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,18:03:29,87,36.7,T1_02,4,87,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,18:03:32,87,36.7,T1_02,1,98,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,18:03:34,87,36.7,T1_02,1,93,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,18:03:35,87,36.7,T1_02,1,99,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,18:03:39,87,36.7,T1_02,2,119,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:03:40,87,36.7,T1_02,2,125,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:03:42,87,36.7,T1_02,2,132,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:03:45,87,36.8,T1_02,3,107,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:03:47,87,36.7,T1_02,3,113,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:03:50,87,36.7,T1_02,4,107,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,18:03:52,87,36.7,T1_02,4,118,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,18:03:53,87,36.7,T1_02,4,116,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,18:03:57,87,36.8,T1_02,1,133,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,18:03:58,87,36.7,T1_02,1,146,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,18:04:00,87,36.7,T1_02,1,149,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,18:04:03,87,36.7,T1_02,2,136,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:04:05,87,36.8,T1_02,2,135,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:04:08,87,36.8,T1_02,3,127,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:04:10,87,36.8,T1_02,3,136,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:04:11,87,36.8,T1_02,3,128,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:04:15,87,36.8,T1_02,4,144,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,18:04:16,87,36.8,T1_02,4,141,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,18:04:18,87,36.8,T1_02,4,147,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
